abstract,Rouge1-F1,Rouge2-F1,RougeL-F1,RougeLSum-F1,METEOR_Final
" research on the implications of anxiety in parkinson 's disease ( pd ) has been neglected despite its prevalence in nearly 50% of patients and its negative impact on quality of life . 
 previous reports have noted that neuropsychiatric symptoms impair cognitive performance in pd patients ; however , to date , no study has directly compared pd patients with and without anxiety to examine the impact of anxiety on cognitive impairments in pd . 
 this study compared cognitive performance across 50 pd participants with and without anxiety ( 17 pda+ ; 33 pda ) , who underwent neurological and neuropsychological assessment . 
 group performance was compared across the following cognitive domains : simple attention / visuomotor processing speed , executive function ( e.g. , set - shifting ) , working memory , language , and memory / new verbal learning . 
 results showed that pda+ performed significantly worse on the digit span forward and backward test and part b of the trail making task ( tmt - b ) compared to the pda group . 
 there were no group differences in verbal fluency , logical memory , or tmt - a performance . in conclusion , 
 anxiety in pd has a measurable impact on working memory and attentional set - shifting . ",0.4095,0.1342,0.194,0.3362,0.3316
" objective : to evaluate the efficacy and safety of outpatient management of severe ovarian hyperstimulation syndrome  ( ohss ) requiring placement of a pigtail catheter.methods : retrospective analysis of thirty - three consecutive patients who underwent in - vitro fertilization  ( 2003 - 2009 ) and developed severe / critical ohss requiring placement of a pigtail catheter . 
 patients who were managed on outpatient basis were monitored by frequent office visits , daily phone calls , and received iv normal saline for hydration when required.results : in 3 patients  ( 9.1% ) ohss started early , requiring placement of a pigtail catheter 4.3 + 0.6 days after retrieval . in 30 patients  ( 90.9% ) 
 ohss started late  ( 14  4 days after retrieval ) . 
 the mean amount of ascitic fluid drained immediately after placement of the catheter was 2085  1018 cc . 
 the pigtail catheter was removed after 7.8  5.3 days . 
 of the 31 patients who had embryo transfer  ( two had total freeze ) , 84% conceived . 
 twenty - nine patients  ( 88% ) were managed on outpatient basis without any complications . 
 four patients required hospital admission for 1 - 7 days  ( 3.0  2.7 ) . 
 one patient with severe ohss was admitted for work up for chest pain . 
 three patients with critical ohss with severe pleural effusion requiring thoracentesis were admitted for supportive measures.conclusion : the placement of a pigtail catheter resulted in safe and effective outpatient management for the majority of patients with severe ohss . ",0.4414,0.1699,0.1962,0.3869,0.2546
" congenital adrenal hyperplasia is a group of autosomal recessive disorders caused by enzyme deficiency which leads to defects in biosynthesis of steroid precursors . 
 most common is 21 hydroxylase deficiency . 
 clinical spectrum varies from non - classical cah to classic cah , and it may be simple virilising form or salt - wastinfg type . 
 29 patients were included in our study from january 2012 to october 2012 . 
 76% were females . 
 male babies typically presented with adrenal crisis between 3rd to 6th week of life . around 20% of females 
 were identified and appropriately treated only after late adolescence . 
 short stature was seen in 1/3rd of patients . 
 1/3rd of patients had suppressed 17 ohp levels suggestive of over - replacement therapy which may contribute to final reduction in adult height . ",0.3744,0.1881,0.2759,0.3399,0.402
" objective(s):pentoxifylline is an immunomodulatory and anti - inflammatory agent and is used in vascular disorders . 
 it has been shown that pentoxifylline inhibits proinflammatory cytokines production . 
 the purpose of this study was to investigate the therapeutic effects of pentoxifylline on the treatment of autoimmune diabetes in mice.materials and methods : diabetes was induced by multiple low dose of streptozotocin ( mlds ) injection ( 40 mg / kg / day for 5 consecutive days ) in male c57bl/6 mice . 
 after induction of diabetes , mice were treated with pentoxifylline ( 100 mg / kg / day ip ) for 21 days . 
 blood glucose levels and plasma levels of insulin were measured . 
 splenocytes were tested for proliferation by mtt test and cytokine production by elisa.results:pentoxifylline treatment prevented hyperglycemia and increased plasma insulin levels in the diabetic mice . aside from reducing lymphocyte proliferation , pentoxifylline significantly inhibited the production of proinflammatory interleukin 17 ( il-17 ) as well as interferon gamma ( ifn- ) , while increased anti - inflammatory cytokine il-10 as compared with those in mlds group ( diabetic control group).conclusion : these findings indicate that pentoxifylline may have therapeutic effect against the autoimmune destruction of the pancreatic beta - cells during the development of mlds - induced type 1 diabetes in mice . ",0.4282,0.1373,0.1686,0.3235,0.2894
" abstractobjective : to determine the presence of staphylococcal superantigen - specific ige antibodies and degree of ige - mediated sensitization , as well as whether or not those are associated with the severity of asthma in adult patients . 
 methods : this was a cross - sectional study involving outpatients with asthma under treatment at a tertiary care university hospital in the city of rio de janeiro , brazil . 
 consecutive patients were divided into two groups according to the severity of asthma based on the global initiative for asthma criteria : mild asthma ( ma ) , comprising patients with mild intermittent or persistent asthma ; and moderate or severe asthma ( msa ) . 
 we determined the serum levels of staphylococcal toxin - specific ige antibodies , comparing the results and performing a statistical analysis . 
 results : the study included 142 patients : 72 in the ma group ( median age = 46 years ; 59 females ) and 70 in the msa group ( median age = 56 years ; 60 females ) . in the sample as a whole , 62 patients ( 43.7% ) presented positive results for staphylococcal toxin - specific ige antibodies : staphylococcal enterotoxin a ( sea ) , in 29 ( 20.4% ) ; seb , in 35 ( 24.6% ) ; sec , in 33 ( 23.2% ) ; and toxic shock syndrome toxin ( tsst ) , in 45 ( 31.7% ) . 
 the mean serum levels of ige antibodies to sea , seb , sec , and tsst were 0.96 u / l , 1.09 u / l , 1.21 u / l , and 1.18 u / l , respectively . 
 there were no statistically significant differences between the two groups in terms of the qualitative or quantitative results . 
 conclusions : serum ige antibodies to sea , seb , sec , and tsst were detected in 43.7% of the patients in our sample . 
 however , neither the qualitative nor quantitative results showed a statistically significant association with the clinical severity of asthma . ",0.5801,0.2893,0.2883,0.5267,0.3892
" background : since the family is a social system , the impairment in each of its component members may disrupt the entire family system . 
 one of the stress sources for families is accidents leading to hospitalization particularly in the intensive care unit ( icu ) . in many cases , 
 the families needs in patient care are not met that cause dissatisfaction . since the nurses spend a lot of time with patients and their families , they are in a good position to assess their needs and perform appropriate interventions . 
 therefore , this study was conducted to determine the effectiveness of nursing interventions based on family needs on family satisfaction level of hospitalized patients in the neurosurgery icu.materials and methods : this clinical trial was conducted in the neurosurgery icu of al - zahra hospital , isfahan , iran in 2010 . 
 sixty four families were selected by simple sampling method and were randomly placed in two groups ( test and control ) using envelopes . in the test group , 
 some interventions were performed to meet their needs . in the control group , 
 the routine actions were only carried out . 
 the satisfaction questionnaire was completed by both groups two days after admission and again on the fourth day.findings:both of the intervention and control groups were compared in terms of the mean satisfaction scores before and after intervention . 
 there was no significant difference in mean satisfaction scores between test and control groups before the intervention . 
 the mean satisfaction score significantly increased after the intervention compared to the control group.conclusions:nursing interventions based on family needs of hospitalized patients in the icu increase their satisfaction . 
 attention to family nursing should be planned especially in the icus . ",0.4633,0.1655,0.2361,0.3563,0.2393
" background and objective :   anxiety and depression are among the psychological disorders in heart 
 surgeries . establishing a simple communication is essential to reduce anxiety and depression . 
 hence , the objective of the present studywas to examine the impact of peplau therapeutic communication model on anxiety and depression in patients , who were candidate for coronary artery bypass in al - zahra heart hospital , shiraz during 2012 - 2013 . 
 
 methods :   this is a clinical trial in which 74 patients were randomly divided into intervention and control groups , each consisted of 37 patients . anxiety and depression levels were assessed before , and two and four months after intervention using the hospital anxiety and depression scale ( hads ) . 
 seven therapeutic communication sessions were held in four stages . 
 data were analyzed with the spss ( version 16 ) using analysis of covariance . 
 results :   the mean anxiety and depression levels decreased in the intervention group after the therapeutic communication ( p<0.01 ) . 
 anxiety scores in the intervention group before and after intervention were 10.23 and 9.38 , respectively . while the corresponding scores in the control group were 10.26 and 11.62 , respectively . 
 depression scores in the intervention group before and after intervention were 11 and 9.13 , respectively . 
 the corresponding scores in the control group were 11.30 and 12.08 , respectively . 
 conclusion :   the results demonstrated the positive role of therapeutic communication in reducing anxiety and depression of the patients . 
 therefore , the therapeutic communication is recommended as a simple , cost effective and efficient method in this area . 
 ",0.5325,0.2435,0.2857,0.4848,0.3118
" background : suppurative meningitis ( sm ) or bacterial meningitis is a life - threatening condition , which is exceptionally due to pituitary tumors ( pt ) . our aim was to analyze its frequency among male macroprolactinomas ( mprl ) deemed to be aggressive , to report the cases we observed in our practice and describe the circumstances under which sm appeared.materials and methods : we retrospectively analyzed 82 male mprl in order to look for a history of well proved sm and the circumstances under which sm appeared . 
 we also took into account the possibility of sm relapsing.results:four out of 82 male mprl had sm = 4.87% . 
 three consulted for sm symptoms . 
 sm was confirmed in infectious diseases department , but only one had rhinorrhea . hormonal assessment and 
 cerebral magnetic resonance imaging pleaded for aggressive prolactinomas . 
 after antibiotics , sm was sterilized . 
 then , mprl were treated with bromocriptine , which normalized prolactin and reduced pt . 
 sm never relapsed . 
 the 4th case was hospitalized for a large multidirectional prolactinoma invading and/or arising from the skull base . 
 he was operated on 3 times and then he was given bromocriptine . 
 after 3 months , he had rhinorrhea and then sm which was successfully treated by antibiotics . 
 sm never relapsed after tumor reduction.conclusion:sm was demonstrated in 4.87% . 
 sm has revealed mprl in 3 cases and appeared after bromocriptine intake in the 4th one . 
 endocrinologists should be aware of this severe condition , which can be avoided by repairing as soon as possible the bony defect secondary to aggressive tumors , unless it is clogged by fibrosis : what probably happened in our cases . ",0.4,0.0951,0.1789,0.3579,0.2551
" background : posterior endoscopic discectomy is an established method for treatment of lumbar disc herniation . 
 many studies have not been reported in literature for lumbar discectomy by destandau endospine system . 
 we report a series of 300 patients operated for lumbar dissectomy by destandau endospine system.materials and methods : a total of 300 patients suffering from lumbar disc herniations were operated between january 2002 and december 2008 . 
 all patients were operated as day care procedure . 
 technique comprised localization of symptomatic level followed by insertion of an endospine system devise through a 15 mm skin and fascial incision . 
 endoscopic discectomy is then carried out by conventional micro disc surgery instruments by minimal invasive route . 
 the results were evaluated by macnab 's criteria after a minimum followup of 12 months and maximum up to 24 months.results:based on modified macnab 's criteria , 90% patients had excellent to good , 8% had fair , and 2% had poor results . 
 the complications observed were discitis and dural tear in five patients each and nerve root injury in two patients . 
 90% patients were able to return to light and sedentary work with an average delay of 3 weeks and normal physical activities after 2 months.conclusion:edoscopic discectomy provides a safe and minimal access corridor for lumbar discectomy . 
 the technique also allows early postoperative mobilization and faster return to work . ",0.4948,0.3037,0.349,0.4271,0.318
" background : role of information source , perceived benefits and risks , and destination image has significantly been examined in travel and tourism literature ; however , in medical tourism it is yet to be examined thoroughly . 
 the concept discussed in this article is drawn form well established models in tourism literature.methods:the purpose of this research was to identify the source of information , travel benefits and perceived risks related to movement of international patients and develop a conceptual model based on well - established theory . 
 thorough database search ( science direct , utmj.org , nih.gov , nchu.edu.tw , palgrave - journals , medretreat , biomedcentral ) was performed to fulfill the objectives of the study.results:international patients always concern about benefits and risks related to travel . 
 these benefits and risks form images of destination in the minds of international patients . 
 different sources of information make international patients acquaint about the associated benefits and risks , which later leads to development of intention to visit . 
 this conceptual paper helps in establishing model for decision - making process of international patients in developing visit intention.conclusion:ample amount of literature is available detailing different factors involved in travel decision making of international patients ; however literature explaining relationship between these factors is scarce . ",0.3956,0.0939,0.1758,0.2967,0.2455
